,ProductId,UserId,ProfileName,Time,Summary,Text
0,B005C3IVN8,AZRI5QQD2M4ZK,SteveKeys,1350604800,Excellent syrup,I've had quite a few different Grade B maple syrups over the years and this brand is my favorite. Rich maple flavor and nice thick texture. Love this syrup on buckwheat waffles and pancakes. Highly Recommended!
1,B003VZCZ0O,AJCK6OKNWGIYG,Mike K,1295222400,Love this cereal,I love cereal in general and Lucky Charms is up there as one of my favorites. I like my cereals a little sweet and Lucky Charms is just that. It's not too sweet. I love the marshmallows. I think they are the best marshmallows in any cereal that has them. I also like the fact that this cereal doesn't get that soggy after being in the milk for a little while. The taste is great and I can't get tired of it like some other cereals.
2,B005K4Q1VI,A3M1LSD6E21BVK,"R. Johns ""HyghTone""",1335657600,Very good Hot Chocolate,This Hot chocolate is very good. It has just the right amount of milk chocolate flavor. The price is a very good deal and more than worth it!
3,B000F4H5F4,A3G7HH7DU27DKN,mlm,1260230400,"Good, but very finely cut...","Twinings English Breakfast tea is a good, basic black tea (as is its stronger cousin, Irish Breakfast tea). But I find this loose tea to be a bit of a challenge. It is cut quite finely and no matter how fine the mesh on the infuser or strainer some of this always comes through. I drink a lot of tea and am fine with drinking some tea dust or even a few leaves, but I am talking about a lot of tea here...a teaspoon full or more in each cup.<br /><br />It is true that this tastes better than the bagged variety of Twinings English Breakfast tea. It is smoother and never bitter, as the bagged tea sometimes is. I have compromised and used the loose tea but I strain it through a coffee filter. The tins the tea comes in keep it quite fresh and though straining it is a hassle, it is worth it for me.<br /><br />This is moderately strong (I drink it black) and if you are sensitive to caffeine you might not want to drink it near bedtime. I use Amazon's Subscribe and Save program for this tea; it is a good bargain and I like the convenience of having it delivered. It is also hard to find the loose tea in supermarkets."
4,B000E7WM0K,A3NITES609Z2LN,Jenn L,1235865600,Now containing gluten!,"A year or so ago, I use to buy these quite often because they were gluten-free.  Last month I decided to order some again and this product no longer says ""gluten-free"" on the packaging and contains wheat.  I didn't want them to go to waste, so I ate one anyway.  I became very sick.  I do enjoy this product but will not be purchasing again because of the wheat.  Just a warning for those of you who also have issues with wheat/gluten."
5,B001PNYKLG,A1DON7ISWDGDB5,Lulu Smith,1311724800,"Yummy, Yummy","Nut oils are good for you. So is olive oil. But I don't much like olive oil. So I mix them on my salad. I bought La Tourangelle (how do you pronounce Tourangelle?) pistachio along with hazelnut and a couple of other nut oils. I now like the zing of my salad much more. My only complaint is that the bottle is a flimsy metal, and it bent in the shipping. However, it is still fresh and useable."
6,B000255OIG,AYS3F0L3VFP6G,Regan,1297900800,Great training treats!,"Getting grain free treats for training usually leaves three options: hard biscuits (and who wants to work for those?), cooked meat (which is gross to handle), or commercial meaty grain-free treats which cost an arm and a leg.<br /><br />These on the other hand, are very affordable, not gross to handle, and the dogs think they smell AMAZING.  They work great when your dog's attention is wavering - a waff of freeze dried beef liver usually snaps them back to attention!<br /><br />Also, being as they're only beef liver, I don't feel bad feeding my dog as many as needed for training.<br /><br />Highly recommended."
7,B000FKEWRM,A3N1P4VN0FRJJ3,"N. R. Parker ""blessed always""",1276819200,Perfect coffee,I cannot find these in stores anymore and have used them for years. Hope they are available soon!
8,B002PO09MS,AVCT6T3AXD26G,Way Beyond The Pages,1338336000,Yummy! Very tasty and easy to work with.,"I've tried Wilton's fondant before, which tasted horrible and wasn't that easy to work with. Fondarific fondant is amazing! It takes color very nicely, I use Wilton's gel colors, and is very easy to work with. It's a little hard when you take it out of the container, but I just pop it in the microwave for 10seconds and it becomes soft enough for me to work with.<br />This fondant tastes soooo good! Like cotton candy. Delicious!!<br />I made a 3 tier birthday cake using this stuff and I still have some fondant left over.<br />My tiers were 10"", 8"" and 6"". The first two tiers were 4"" tall and the 6"" tier was 8"" tall. I also used this for decorations.<br />Everyone at the party loved it!"
9,B001LG945O,A156P4FPL8OGXB,"Tim Drake ""Author and Journalist""",1245801600,"""Switch"" to a ""Real"" Energy Drink","Bottled like an energy drink, Switch, doesn't contain the things you'd find in other carbonated beverages. There's no sugar, no caffeine, no corn syrup, no preservatives or artificial colors.<br /><br />Instead, what you get is a refreshing, all-natural, lightly carbonated tangerine-orange drink loaded with Vitamin C. Think of it as orange soda without all the things you don't want. Switch has just the right amount of carbonation to make the beverage refreshing without being filling.<br /><br />It's a zippy beverage made with real tangerine, apple, and grape juices, and would make a refreshing beverage, lunch, dinner, or snack-time drink.<br /><br />There was a slight aftertaste that I'm chalking up to either the can or the citrus, but it didn't get in the way of enjoying the drink.<br /><br />Make the ""switch"" to Switch."
10,B004391DK0,AHVWTZA0TZW8U,cooker,1298246400,great baking aid,This is an excellent product and I use it just like I used to utilize the regular Bisquick product.It works well with any recipe that calls for flour and quickening.
11,B0045Z6K50,A2SXFV8EHCMY5F,Cherie,1324166400,Newman k cup,I have ordered this blend several times & liked it.<br />This shipment was bitter. Maybe it was just a bad batch or maybe old.
12,B003TIVBSU,A1LMX46X1SAXVI,fred,1321574400,Will never buy store bought extract again.,"These beans were amazing for the price.  Plump, moist and delightful smelling. Made 1.5L of extract with them using silver rum for the alcohol."
13,B002TMV3E4,A3ULJE7UMUGSXR,Rebekah Sue Harris,1284336000,So-So - average for decaf,"The aroma of <a href=""http://www.amazon.com/gp/product/B002TMV3E4"">Melitta Cafe Collection Riviera Sunset Decaffeinated Ground Coffee, 10-Ounce Bags)</a> was fairly weak. Scent, after all, is a huge part of taste, and this was disappointing.<br /><br />Even though I added more coffee grinds than the directions instructed, I found the coffee to be a bit bland. The taste was more than flavored water, but not amazingly so, with no subtle overtones. It wasn't bitter, but it wasn't much of anything.<br /><br />While I generally drink hi-test as opposed to decaffeinated, I do drink decaf at least twice a week. The <a href=""http://www.amazon.com/gp/product/B002TMV3E4"">Melitta</a> was comparable to the generic brand that I usually have.<br /><br /><a href=""http://www.amazon.com/gp/product/B002TMV3E4"">Melitta Cafe Collection riviera Sunset Decaf</a> isn't a bad coffee, but it's not worth the money if there are other options available."
